Date,Location,Latitude,Longitude,Season,RainTomorrow,RainMm,WindGustSpeed,WindGustSpeedGroup,WindGustDir,WindGustDirDegrees,WindSpeed9am,WindDir9amDegrees,WindSpeed3pm,WindDir3pmDegrees,WindSpeedChange
2016-4-18,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.9,28.4,Q1,S,188,12.2,194,13.2,154,1.0
2016-4-19,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,1.1,22.0,Q1,S,188,7.1,221,7.9,114,0.8000000000000007
2016-4-20,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,22.3,Q1,ENE,63,3.6,264,8.7,85,5.1
2016-4-21,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,24.8,Q1,NNE,14,2.4,297,9.8,54,7.4
2016-4-22,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,2.9,38.2,Q2,SSW,206,6.1,225,7.7,191,1.6000000000000005
2016-4-23,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,3.4,58.3,Q4,SSW,199,22.4,206,22.7,181,0.3000000000000007
2016-4-24,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,1.5,41.8,Q2,SSE,165,8.9,166,14.0,138,5.1
2016-4-25,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,19.8,Q1,SE,139,5.4,222,8.4,97,3.0
2016-4-26,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,26.6,Q1,E,95,5.9,227,10.5,68,4.6
2016-4-27,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,32.0,Q1,NNE,17,5.2,282,14.5,48,9.3
2016-4-28,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,23.8,Q1,NNE,12,3.3,311,8.1,58,4.8
2016-4-29,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.0,27.7,Q1,NNE,17,2.8,310,10.9,46,8.100000000000001
2016-4-30,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,1,0.9,29.9,Q1,N,350,6.3,336,10.9,8,4.6000000000000005
2016-5-1,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.9,51.5,Q4,NW,323,13.0,358,20.9,316,7.899999999999999
2016-5-2,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,32.8,Q1,WNW,298,4.7,293,9.2,312,4.499999999999999
2016-5-3,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,37.8,Q2,NW,318,8.4,317,16.9,310,8.499999999999998
2016-5-4,Sydney (ERA5 grid point),-33.848858,151.19551,autumn,0,0.0,25.9,Q1,NW,304,9.1,304,5.4,222,-3.6999999999999993
